"from";"to";"cost";"profit";"category"
"1";"2";"2236.79181155081";"83";"Historical"
"1";"3";"795.755248666966";"859";"Historical"
"1";"4";"237.161458298823";"895";"Historical"
"1";"5";"1631.57637630671";"552";"Cultural"
"1";"6";"2303.46853685946";"472";"Museum"
"1";"7";"328.284484574894";"305";"Historical"
"1";"8";"535.652207046399";"1584";"Cultural"
"1";"9";"479.518130922475";"946";"Historical"
"1";"10";"3956.88950194193";"152";"Park"
"1";"11";"4047.56718445077";"448";"Park"
"1";"12";"3847.52451180193";"330";"Historical"
"1";"13";"901.928891006746";"717";"Cultural"
"1";"14";"1139.2044592342";"450";"Transport"
"1";"15";"2098.7530149302";"262";"Cultural"
"1";"16";"1855.37855725542";"210";"Park"
"1";"17";"1406.45236812493";"243";"Park"
"1";"18";"1770.37570739097";"334";"Park"
"1";"19";"1486.2258077255";"376";"Park"
"1";"20";"4567.79577566851";"6";"Museum"
"1";"21";"2012.84626306277";"609";"Shopping"
"1";"22";"1857.23792300555";"260";"Transport"
"1";"23";"3565.12183858063";"699";"Museum"
"1";"24";"3546.14066440528";"342";"Museum"
"1";"25";"4024.37127544606";"35";"Park"
"1";"26";"2639.49009380789";"163";"Museum"
"1";"27";"2021.06612621699";"330";"Museum"
"1";"28";"1214.20387522448";"335";"Park"
"1";"29";"1745.93486746243";"587";"Museum"
"1";"31";"4057.00090733085";"133";"Cultural"
"1";"32";"1172.93858170513";"885";"Historical"
"1";"33";"1256.23310536562";"1493";"Cultural"
"1";"34";"2458.77165277508";"2";"Park"
"1";"35";"858.687885401177";"192";"Park"
"1";"36";"8476.42309188811";"894";"Museum"
"1";"37";"453.496838049729";"785";"Transport"
"1";"38";"1169.86087248369";"279";"Shopping"
"1";"39";"2073.3076403999";"246";"Transport"
"2";"1";"2236.79181155081";"1020";"Historical"
"2";"3";"1712.54632214417";"859";"Historical"
"2";"4";"2029.84707278702";"895";"Historical"
"2";"5";"1575.59350797171";"552";"Cultural"
"2";"6";"1955.34843786229";"472";"Museum"
"2";"7";"2026.87276609262";"305";"Historical"
"2";"8";"2694.97451018478";"1584";"Cultural"
"2";"9";"2626.02746831098";"946";"Historical"
