"from";"to";"cost";"profit";"category"
"1";"2";"1315.16245276302";"17";"Structure"
"1";"3";"664.478453282417";"244";"Structure"
"1";"4";"1177.80426431905";"302";"Precinct"
"1";"6";"394.513877165546";"500";"Park"
"1";"7";"175.042268004872";"329";"Park"
"1";"8";"1595.98172822959";"4";"Park"
"1";"9";"1099.8369068551";"66";"Park"
"1";"10";"2939.13732539064";"3";"Park"
"1";"11";"1915.32847001666";"56";"Park"
"1";"12";"488.203951911814";"135";"Cultural"
"1";"13";"610.692231907625";"412";"Cultural"
"1";"14";"1893.64911184085";"75";"Sport"
"1";"15";"1355.64007831795";"10";"Sport"
"1";"16";"1983.28959995946";"11";"Transport"
"1";"17";"390.530702704677";"302";"Transport"
"1";"18";"511.256813836595";"87";"Transport"
"1";"19";"573.593369508452";"133";"Transport"
"1";"20";"603.117127949171";"300";"Transport"
"1";"21";"3369.14139344143";"96";"Entertainment"
"1";"22";"446.358416053101";"177";"Entertainment"
"1";"23";"1101.63689939527";"128";"Entertainment"
"2";"1";"1315.16245276302";"256";"Structure"
"2";"3";"1289.60986419496";"244";"Structure"
"2";"4";"897.114505441026";"302";"Precinct"
"2";"6";"1421.61802770494";"500";"Park"
"2";"7";"1324.00727568675";"329";"Park"
"2";"8";"2910.8089301324";"4";"Park"
"2";"9";"996.403196271877";"66";"Park"
"2";"10";"1873.28482584078";"3";"Park"
"2";"11";"2122.8261448776";"56";"Park"
"2";"12";"1297.86765360867";"135";"Cultural"
"2";"13";"1359.31284242347";"412";"Cultural"
"2";"14";"3208.77600038769";"75";"Sport"
"2";"15";"2247.63482391493";"10";"Sport"
"2";"16";"2940.71924697024";"11";"Transport"
"2";"17";"1250.57656610474";"302";"Transport"
"2";"18";"955.812450173679";"87";"Transport"
"2";"19";"867.353717696742";"133";"Transport"
"2";"20";"933.381153606663";"300";"Transport"
"2";"21";"4680.05030502643";"96";"Entertainment"
"2";"22";"1706.27643271778";"177";"Entertainment"
"2";"23";"578.765453799977";"128";"Entertainment"
"3";"1";"664.478453282417";"256";"Structure"
"3";"2";"1289.60986419496";"17";"Structure"
"3";"4";"701.658365173739";"302";"Precinct"
"3";"6";"1055.67320522036";"500";"Park"
"3";"7";"832.85597201822";"329";"Park"
"3";"8";"1914.90465252672";"4";"Park"
"3";"9";"575.04547181263";"66";"Park"
"3";"10";"3129.99017765213";"3";"Park"
"3";"11";"1257.78908526565";"56";"Park"
"3";"12";"181.022295032496";"135";"Cultural"
"3";"13";"101.713523688305";"412";"Cultural"
"3";"14";"2186.78632389701";"75";"Sport"
"3";"15";"964.37360367134";"10";"Sport"
"3";"16";"1656.81727242621";"11";"Transport"
"3";"17";"274.137346523947";"302";"Transport"
"3";"18";"966.260375394543";"87";"Transport"
"3";"19";"971.366629878953";"133";"Transport"
"3";"20";"369.930474061792";"300";"Transport"
"3";"21";"3561.2747437542";"96";"Entertainment"
"3";"22";"1046.80477895899";"177";"Entertainment"
"3";"23";"813.531813932131";"128";"Entertainment"
"4";"1";"1177.80426431905";"256";"Structure"
"4";"2";"897.114505441026";"17";"Structure"
"4";"3";"701.658365173739";"244";"Structure"
"4";"6";"1498.93632372599";"500";"Park"
"4";"7";"1298.99972370336";"329";"Park"
"4";"8";"2610.57769152709";"4";"Park"
"4";"9";"142.126300936826";"66";"Park"
"4";"10";"2750.91024268766";"3";"Park"
"4";"11";"1226.40645373499";"56";"Park"
"4";"12";"830.360716904005";"135";"Cultural"
"4";"13";"802.776349798338";"412";"Cultural"
"4";"14";"2886.25060617036";"75";"Sport"
"4";"15";"1511.47726959606";"10";"Sport"
"4";"16";"2182.93545375299";"11";"Transport"
"4";"17";"863.051534270059";"302";"Transport"
"4";"18";"1186.64624534578";"87";"Transport"
"4";"19";"1137.1174548086";"133";"Transport"
"4";"20";"575.533320301606";"300";"Transport"
"4";"21";"4258.45007860501";"96";"Entertainment"
"4";"22";"1620.57385397977";"177";"Entertainment"
"4";"23";"324.250412388006";"128";"Entertainment"
"6";"1";"394.513877165546";"256";"Structure"
"6";"2";"1421.61802770494";"17";"Structure"
"6";"3";"1055.67320522036";"244";"Structure"
"6";"4";"1498.93632372599";"302";"Precinct"
"6";"7";"222.839225438278";"329";"Park"
"6";"8";"1581.17952900869";"4";"Park"
"6";"9";"1441.56769099618";"66";"Park"
"6";"10";"2828.8741968479";"3";"Park"
"6";"11";"2309.48423293941";"56";"Park"
"6";"12";"881.804945412235";"135";"Cultural"
"6";"13";"1005.11089039419";"412";"Cultural"
"6";"14";"1879.35662932214";"75";"Sport"
"6";"15";"1702.74991433995";"10";"Sport"
"6";"16";"2290.06435867568";"11";"Transport"
"6";"17";"781.731050009527";"302";"Transport"
"6";"18";"469.02595777494";"87";"Transport"
"6";"19";"558.053681393235";"133";"Transport"
"6";"20";"931.727187163596";"300";"Transport"
"6";"21";"3377.90955694098";"96";"Entertainment"
"6";"22";"353.805968514881";"177";"Entertainment"
"6";"23";"1359.027867628";"128";"Entertainment"
"7";"1";"175.042268004872";"256";"Structure"
"7";"2";"1324.00727568675";"17";"Structure"
"7";"3";"832.85597201822";"244";"Structure"
"7";"4";"1298.99972370336";"302";"Precinct"
"7";"6";"222.839225438278";"500";"Park"
"7";"8";"1603.00168774394";"4";"Park"
"7";"9";"1233.28216426779";"66";"Park"
"7";"10";"2860.07965970234";"3";"Park"
"7";"11";"2087.36633012862";"56";"Park"
"7";"12";"659.58951685925";"135";"Cultural"
"7";"13";"783.649395122141";"412";"Cultural"
"7";"14";"1902.81558374054";"75";"Sport"
"7";"15";"1517.55877637551";"10";"Sport"
"7";"16";"2130.66799153842";"11";"Transport"
"7";"17";"558.980569438459";"302";"Transport"
"7";"18";"427.394498547429";"87";"Transport"
"7";"19";"506.40557269379";"133";"Transport"
"7";"20";"725.536961552264";"300";"Transport"
"7";"21";"3392.94151854531";"96";"Entertainment"
"7";"22";"382.635202370433";"177";"Entertainment"
"7";"23";"1186.05292254821";"128";"Entertainment"
"8";"1";"1595.98172822959";"256";"Structure"
"8";"2";"2910.8089301324";"17";"Structure"
"8";"3";"1914.90465252672";"244";"Structure"
"8";"4";"2610.57769152709";"302";"Precinct"
"8";"6";"1581.17952900869";"500";"Park"
"8";"7";"1603.00168774394";"329";"Park"
"8";"9";"2489.37392302934";"66";"Park"
"8";"10";"4401.52149466984";"3";"Park"
"8";"11";"2735.09719967208";"56";"Park"
"8";"12";"1782.06592756458";"135";"Cultural"
