"from";"to";"cost";"profit";"category"
"1";"2";"3387.51734497409";"609";"Sport"
"1";"3";"2104.72485815982";"688";"Sport"
"1";"4";"834.021804841558";"3056";"Sport"
"1";"6";"1607.38927095096";"986";"Cultural"
"1";"7";"434.254844101866";"2064";"Cultural"
"1";"8";"562.232125979628";"1736";"Cultural"
"1";"9";"8801.36705899733";"278";"Cultural"
"1";"10";"3013.46821209837";"346";"Cultural"
"1";"11";"2949.37231037301";"4142";"Cultural"
"1";"12";"25249.8611581591";"481";"Cultural"
"1";"13";"4576.84541583293";"964";"Cultural"
"1";"14";"3219.67992813099";"141";"Amusement"
"1";"15";"2600.68831132446";"113";"Amusement"
"1";"16";"643.96381712263";"3553";"Amusement"
"1";"17";"3199.36229225044";"808";"Amusement"
"1";"18";"5800.69655574051";"26";"Amusement"
"1";"19";"2505.09491076616";"111";"Beach"
"1";"20";"6763.69470382668";"89";"Beach"
"1";"21";"1425.46977309062";"3594";"Beach"
"1";"22";"1081.63791232899";"3619";"Beach"
"1";"23";"1189.38158744508";"1874";"Shopping"
"1";"24";"587.192559665223";"1028";"Shopping"
"1";"25";"2150.28141013174";"1701";"Shopping"
"1";"26";"10904.370489093";"104";"Shopping"
"1";"27";"3150.41084634237";"631";"Shopping"
"1";"28";"1040.47306414003";"936";"Structure"
"1";"29";"2355.54539482329";"744";"Structure"
"1";"30";"244.250513958089";"1538";"Structure"
"2";"1";"3387.51734497409";"3506";"Sport"
"2";"3";"4502.56192376373";"688";"Sport"
"2";"4";"2558.164379493";"3056";"Sport"
"2";"6";"3138.77243997153";"986";"Cultural"
"2";"7";"3687.54008970777";"2064";"Cultural"
"2";"8";"2836.75798062397";"1736";"Cultural"
"2";"9";"11357.3097781644";"278";"Cultural"
"2";"10";"5993.2470399204";"346";"Cultural"
"2";"11";"4337.46559564204";"4142";"Cultural"
"2";"12";"28205.7029908262";"481";"Cultural"
"2";"13";"5098.07452578378";"964";"Cultural"
"2";"14";"167.869524056577";"141";"Amusement"
"2";"15";"3877.64599967576";"113";"Amusement"
"2";"16";"2763.93327287463";"3553";"Amusement"
"2";"17";"201.426272967286";"808";"Amusement"
"2";"18";"2654.79331580599";"26";"Amusement"
"2";"19";"3486.86804952831";"111";"Beach"
"2";"20";"3902.47628624234";"89";"Beach"
"2";"21";"4034.66697442172";"3594";"Beach"
"2";"22";"3573.31794294761";"3619";"Beach"
