poiID;poiName;lat;long;theme
1;Air_Canada_Centre;43.64333; -79.37917;Sport
2;BMO_Field;43.63278; -79.41861;Sport
3;Maple_Leaf_Gardens;43.66222; -79.38028;Sport
4;Rogers_Centre;43.64139; -79.38917;Sport
5;Woodbine_Racetrack;43.712525; -79.6020417;Sport
6;Art_Gallery_of_Ontario;43.65389; -79.39278;Cultural
7;Hockey_Hall_of_Fame;43.646976; -79.377253;Cultural
8;Ripley%27s_Aquarium_of_Canada;43.642481; -79.38605;Cultural
9;Ontario_Science_Centre;43.71667; -79.33833;Cultural
10;Riverdale_Farm;43.667111; -79.361294;Cultural
11;Royal_Ontario_Museum;43.6675; -79.39417;Cultural
12;Toronto_Zoo;43.8202778; -79.1827778;Cultural
13;Casa_Loma;43.6781; -79.4095;Cultural
14;Canadian_National_Exhibition;43.63333; -79.41667;Amusement
15;Centreville_Amusement_Park;43.6203083; -79.3736778;Amusement
16;CN_Tower;43.6426; -79.3871000;Amusement
17;Exhibition_Place;43.63278; -79.41611;Amusement
18;Sunnyside_Amusement_Park;43.637923; -79.450786;Amusement
19;Toronto_Islands;43.62083; -79.37861;Beach
20;High_Park;43.646821; -79.462996;Beach
21;Yonge-Dundas_Square;43.65611; -79.38028;Beach
22;Nathan_Phillips_Square;43.6525; -79.38361;Beach
23;Toronto_Eaton_Centre;43.653982; -79.380319;Shopping
24;Harbourfront_Centre;43.63849; -79.382068;Shopping
25;Kensington_Market;43.6547722; -79.4006778;Shopping
26;Yorkdale_Shopping_Centre;43.725599; -79.452696;Shopping
27;Yorkville,_Toronto;43.67028; -79.39111;Shopping
28;Old_City_Hall_(Toronto);43.6525; -79.38167;Structure
29;Ontario_Legislative_Building;43.662447; -79.391708;Structure
30;Union_Station_(Toronto);43.64528; -79.38056;Structure
