poiID;poiName;lat;long;theme
1;Sch%C3%B6nbrunn_Palace;48.184516;16.311865;Palace
2;Tiergarten_Sch%C3%B6nbrunn;48.18222;16.3025;Zoo
3;Wiener_Riesenrad;48.2166505;16.3959494;Entertainment
4;Albertina,_Vienna;48.20444;16.36778;Museum
5;Hofburg_Palace;48.206507;16.365262;Palace
6;Kunsthistorisches_Museum;48.2037;16.3614;Museum
7;Belvedere_(palace);48.191439;16.380787;Palace
8;Donauturm;48.24;16.41083;Structure
9;Naturhistorisches_Museum;48.2052;16.3599;Museum
10;Haus_des_Meeres;48.1975;16.35306;Zoo
11;Leopold_Museum;48.2025;16.35889;Museum
12;Belvedere_(palace);48.191439;16.380787;Palace
13;Technisches_Museum_Wien;48.19083;16.3175;Museum
14;Schatzkammer_(Vienna);48.20667;16.36556;Museum
15;Spanish_Riding_School;48.2075;16.36611;Entertainment
16;MUMOK;48.203722;16.357444;Museum
17;St._Stephen%27s_Cathedral,_Vienna;48.2085;16.373;Historical
18;Imperial_Crypt,_Vienna;48.20556;16.36972;Historical
19;Haus_der_Musik;48.20417;16.37333;Museum
20;St._Charles%27s_Church,_Vienna;48.198333;16.371389;Historical
21;Museum_f%C3%BCr_angewandte_Kunst_Wien;48.2075;16.38167;Museum
22;KunstHausWien;48.210917;16.393389;Museum
23;Vienna_State_Opera;48.20278;16.368472;Historical
24;Palmenhaus_Sch%C3%B6nbrunn;48.18472;16.30278;Park
25;Austrian_National_Library;48.20611;16.36639;Historical
26;Austrian_Parliament_Building;48.20806;16.35806;Historical
27;Mozarthaus_Vienna;48.20778;16.37528;Cultural
28;Heeresgeschichtliches_Museum;48.18528;16.3875;Museum
29;W%C3%BCstenhaus_Sch%C3%B6nbrunn;48.18472;16.30167;Park
