"photoID";"userID";"dateTaken";"poiID";"poiTheme";"poiFreq";"seqID"
268535960;"10063645@N00";1160716026;11;"Education";1008;1
284505324;"10063645@N00";1162247008;2;"Transport";916;2
285538933;"10063645@N00";1162333588;11;"Education";1008;3
289494173;"10063645@N00";1162693595;16;"Shopping";848;4
289494204;"10063645@N00";1162693817;21;"Museum";618;4
289494280;"10063645@N00";1162693829;21;"Museum";618;4
294574920;"10063645@N00";1163136320;15;"Shopping";718;5
294574988;"10063645@N00";1163138317;20;"Structure";379;5
294575044;"10063645@N00";1163138340;20;"Structure";379;5
294575105;"10063645@N00";1163138371;20;"Structure";379;5
294575229;"10063645@N00";1163138383;20;"Structure";379;5
294575288;"10063645@N00";1163138599;20;"Structure";379;5
294575348;"10063645@N00";1163138605;20;"Structure";379;5
304482157;"10063645@N00";1164176365;11;"Education";1008;6
305900726;"10063645@N00";1164340793;10;"Education";1437;7
305900765;"10063645@N00";1164340808;10;"Education";1437;7
305900823;"10063645@N00";1164340829;10;"Education";1437;7
305900884;"10063645@N00";1164340850;10;"Education";1437;7
305900925;"10063645@N00";1164340861;10;"Education";1437;7
305901017;"10063645@N00";1164340884;10;"Education";1437;7
305901079;"10063645@N00";1164340900;10;"Education";1437;7
305901125;"10063645@N00";1164340924;10;"Education";1437;7
305901166;"10063645@N00";1164340943;10;"Education";1437;7
305901206;"10063645@N00";1164341019;10;"Education";1437;7
305901398;"10063645@N00";1164341192;10;"Education";1437;7
305901282;"10063645@N00";1164341214;10;"Education";1437;7
305901456;"10063645@N00";1164341436;10;"Education";1437;7
305901545;"10063645@N00";1164341717;10;"Education";1437;7
317814964;"10063645@N00";1165550779;15;"Shopping";718;8
330747739;"10063645@N00";1166827353;15;"Shopping";718;9
355785344;"10063645@N00";1168134715;11;"Education";1008;10
359901093;"10063645@N00";1168842910;11;"Education";1008;11
359901162;"10063645@N00";1168842932;11;"Education";1008;11
359901249;"10063645@N00";1168842948;11;"Education";1008;11
378814387;"10063645@N00";1169178957;15;"Shopping";718;12
363564459;"10063645@N00";1169179711;15;"Shopping";718;12
363564562;"10063645@N00";1169180205;15;"Shopping";718;12
363564670;"10063645@N00";1169180228;15;"Shopping";718;12
363564790;"10063645@N00";1169180246;15;"Shopping";718;12
363564895;"10063645@N00";1169180268;15;"Shopping";718;12
2475858276;"10251761@N04";1210149776;24;"Structure";76;13
2475861662;"10251761@N04";1210150131;24;"Structure";76;13
2475049799;"10251761@N04";1210150310;24;"Structure";76;13
2475047161;"10251761@N04";1210150310;24;"Structure";76;13
2475050567;"10251761@N04";1210150503;24;"Structure";76;13
2475051527;"10251761@N04";1210150756;24;"Structure";76;13
2475871234;"10251761@N04";1210150817;24;"Structure";76;13
2475054783;"10251761@N04";1210150873;24;"Structure";76;13
2475874074;"10251761@N04";1210150912;24;"Structure";76;13
2475058155;"10251761@N04";1210153241;24;"Structure";76;13
6199716077;"10259636@N05";1317435771;21;"Museum";618;14
6213730481;"10259636@N05";1317782627;21;"Museum";618;15
6268765778;"10259636@N05";1319236690;16;"Shopping";848;16
6382485985;"10259636@N05";1321921418;2;"Transport";916;17
6652484249;"10259636@N05";1325901244;21;"Museum";618;18
7136182121;"10259636@N05";1335948124;21;"Museum";618;19
7333973676;"10259636@N05";1338763491;2;"Transport";916;20
7617239262;"10259636@N05";1342868383;2;"Transport";916;21
7357471068;"10338784@N02";1307794058;16;"Shopping";848;22
7172111979;"10338784@N02";1308359301;12;"Education";517;23
7357471836;"10338784@N02";1308359312;16;"Shopping";848;23
4999703206;"10354154@N05";1284088033;20;"Structure";379;24
4999712928;"10354154@N05";1284090335;14;"Religion";19;24
4999714564;"10354154@N05";1284093676;20;"Structure";379;24
4999113371;"10354154@N05";1284093963;20;"Structure";379;24
4999088205;"10354154@N05";1284696182;20;"Structure";379;25
7965790134;"10354154@N05";1346574176;1;"Transport";1491;26
7965794142;"10354154@N05";1346574256;1;"Transport";1491;26
7965795006;"10354154@N05";1346574297;1;"Transport";1491;26
7965796156;"10354154@N05";1346574314;1;"Transport";1491;26
7965797746;"10354154@N05";1346574358;1;"Transport";1491;26
7965798714;"10354154@N05";1346575743;1;"Transport";1491;26
7965799570;"10354154@N05";1346575764;1;"Transport";1491;26
7965800922;"10354154@N05";1346575780;1;"Transport";1491;26
7965801690;"10354154@N05";1346575815;1;"Transport";1491;26
7965802432;"10354154@N05";1346575887;1;"Transport";1491;26
7965811290;"10354154@N05";1346590530;1;"Transport";1491;26
7965811632;"10354154@N05";1346590541;1;"Transport";1491;26
7965812036;"10354154@N05";1346590563;1;"Transport";1491;26
7965812480;"10354154@N05";1346590590;1;"Transport";1491;26
7965812890;"10354154@N05";1346590608;1;"Transport";1491;26
7965813318;"10354154@N05";1346590640;1;"Transport";1491;26
7965813794;"10354154@N05";1346590663;1;"Transport";1491;26
7965814260;"10354154@N05";1346590680;1;"Transport";1491;26
7965814752;"10354154@N05";1346590692;1;"Transport";1491;26
7965815280;"10354154@N05";1346591219;1;"Transport";1491;26
