"from";"to";"cost";"profit";"category"
"1";"3";"2887.8590750541";"32";"Building"
"1";"4";"2406.80648552702";"85";"Park"
"1";"5";"2390.98102419381";"109";"Park"
"1";"6";"1566.49599273275";"74";"Architectural"
"1";"7";"4923.12501569042";"383";"Architectural"
"1";"8";"5459.39912781348";"4";"Architectural"
"1";"9";"4804.74026688702";"338";"Precinct"
"1";"10";"3205.7424088689";"60";"Architectural"
"1";"11";"10753.1568405392";"418";"Architectural"
"1";"12";"10743.2858295371";"709";"Architectural"
"1";"13";"11649.9062673204";"1";"Architectural"
"1";"14";"4682.56224773802";"3";"Religious"
"1";"15";"2731.96023865421";"1";"Religious"
"1";"16";"2519.62061895244";"98";"Religious"
"1";"18";"4230.8477683546";"534";"Religious"
"1";"19";"7219.98756248568";"206";"Religious"
"1";"21";"988.524542457125";"103";"Museum"
"1";"22";"5634.52247227424";"10";"Museum"
"1";"23";"2021.32566845601";"196";"Architectural"
"1";"24";"2692.88319342978";"117";"Religious"
"1";"25";"3656.01302187608";"97";"Park"
"1";"26";"1898.81432854635";"46";"Park"
"3";"1";"2887.8590750541";"369";"Building"
"3";"4";"2828.53955492791";"85";"Park"
"3";"5";"3088.78650280205";"109";"Park"
"3";"6";"4443.27421007654";"74";"Architectural"
"3";"7";"6159.69811531746";"383";"Architectural"
"3";"8";"6511.62977292706";"4";"Architectural"
"3";"9";"5549.42684643444";"338";"Precinct"
"3";"10";"2980.98460696664";"60";"Architectural"
"3";"11";"10117.833829651";"418";"Architectural"
"3";"12";"10112.3702622614";"709";"Architectural"
"3";"13";"12866.4464175233";"1";"Architectural"
"3";"14";"7568.30597481726";"3";"Religious"
"3";"15";"463.131922384098";"1";"Religious"
"3";"16";"1637.9399072039";"98";"Religious"
"3";"18";"5211.2571366031";"534";"Religious"
"3";"19";"8897.75299828935";"206";"Religious"
"3";"21";"1922.39369761972";"103";"Museum"
"3";"22";"3756.58508214731";"10";"Museum"
"3";"23";"2162.12666690201";"196";"Architectural"
"3";"24";"4840.24031554047";"117";"Religious"
"3";"25";"5659.38624038133";"97";"Park"
"3";"26";"4666.27907137072";"46";"Park"
"4";"1";"2406.80648552702";"369";"Building"
"4";"3";"2828.53955492791";"32";"Building"
"4";"5";"4428.37388214026";"109";"Park"
"4";"6";"3540.1768378883";"74";"Architectural"
"4";"7";"3334.10610979449";"383";"Architectural"
"4";"8";"3714.00420668214";"4";"Architectural"
"4";"9";"2809.94681452899";"338";"Precinct"
"4";"10";"4926.9386311349";"60";"Architectural"
"4";"11";"12531.4176098711";"418";"Architectural"
"4";"12";"12523.748808762";"709";"Architectural"
"4";"13";"14039.3950801691";"1";"Architectural"
"4";"14";"6055.22393838579";"3";"Religious"
"4";"15";"2387.16734773478";"1";"Religious"
"4";"16";"1255.30209233349";"98";"Religious"
"4";"18";"2401.17776051888";"534";"Religious"
"4";"19";"9626.73277665481";"206";"Religious"
"4";"21";"2334.68738769579";"103";"Museum"
"4";"22";"6531.05403951373";"10";"Museum"
"4";"23";"706.389251813769";"196";"Architectural"
"4";"24";"5096.46652571608";"117";"Religious"
"4";"25";"3029.15018967787";"97";"Park"
"4";"26";"4080.48496485646";"46";"Park"
"5";"1";"2390.98102419381";"369";"Building"
"5";"3";"3088.78650280205";"32";"Building"
"5";"4";"4428.37388214026";"85";"Park"
"5";"6";"3090.53472337131";"74";"Architectural"
"5";"7";"7297.5860235108";"383";"Architectural"
"5";"8";"7817.91250472931";"4";"Architectural"
"5";"9";"7095.01726065176";"338";"Precinct"
"5";"10";"1016.83035906661";"60";"Architectural"
"5";"11";"8362.9239016159";"418";"Architectural"
"5";"12";"8352.96073274146";"709";"Architectural"
"5";"13";"9867.30800863123";"1";"Architectural"
"5";"14";"5998.86382050215";"3";"Religious"
"5";"15";"3297.09231048491";"1";"Religious"
"5";"16";"3905.15552216376";"98";"Religious"
"5";"18";"6555.2407961524";"534";"Religious"
"5";"19";"5809.16447410196";"206";"Religious"
"5";"21";"2095.27278117643";"103";"Museum"
"5";"22";"3884.93690866296";"10";"Museum"
"5";"23";"3812.48930548492";"196";"Architectural"
"5";"24";"2139.72960772759";"117";"Religious"
"5";"25";"6024.20648867335";"97";"Park"
"5";"26";"2859.54846443309";"46";"Park"
"6";"1";"1566.49599273275";"369";"Building"
"6";"3";"4443.27421007654";"32";"Building"
"6";"4";"3540.1768378883";"85";"Park"
"6";"5";"3090.53472337131";"109";"Park"
"6";"7";"5103.1980156303";"383";"Architectural"
"6";"8";"5698.27317952125";"4";"Architectural"
"6";"9";"5300.24871366497";"338";"Precinct"
"6";"10";"4085.7364029376";"60";"Architectural"
"6";"11";"11181.3571995021";"418";"Architectural"
"6";"12";"11169.5058969148";"709";"Architectural"
"6";"13";"11025.1682492548";"1";"Architectural"
"6";"14";"3161.01132167549";"3";"Religious"
"6";"15";"4298.42705994228";"1";"Religious"
"6";"16";"3987.54410972736";"98";"Religious"
"6";"18";"4670.32189011741";"534";"Religious"
"6";"19";"6447.58274512139";"206";"Religious"
"6";"21";"2523.35012012202";"103";"Museum"
"6";"22";"6824.42916123653";"10";"Museum"
"6";"23";"3375.70642279934";"196";"Architectural"
"6";"24";"2104.2903020528";"117";"Religious"
"6";"25";"3428.28545170145";"97";"Park"
"6";"26";"630.363013478807";"46";"Park"
"7";"1";"4923.12501569042";"369";"Building"
"7";"3";"6159.69811531746";"32";"Building"
"7";"4";"3334.10610979449";"85";"Park"
"7";"5";"7297.5860235108";"109";"Park"
"7";"6";"5103.1980156303";"74";"Architectural"
"7";"8";"605.922559492906";"4";"Architectural"
"7";"9";"1038.28099047712";"338";"Precinct"
"7";"10";"8000.99300725953";"60";"Architectural"
"7";"11";"15630.1349961333";"418";"Architectural"
"7";"12";"15621.0578823908";"709";"Architectural"
"7";"13";"16118.2227567972";"1";"Architectural"
"7";"14";"5939.02122187873";"3";"Religious"
"7";"15";"5711.9062072351";"1";"Religious"
"7";"16";"4547.24466054483";"98";"Religious"
"7";"18";"980.421514831384";"534";"Religious"
"7";"19";"11521.6312317559";"206";"Religious"
"7";"21";"5356.80583631102";"103";"Museum"
"7";"22";"9857.03270216903";"10";"Museum"
"7";"23";"4024.88022990914";"196";"Architectural"
"7";"24";"7173.56110904521";"117";"Religious"
"7";"25";"1855.73543416728";"97";"Park"
"7";"26";"5729.37617545439";"46";"Park"
"8";"1";"5459.39912781348";"369";"Building"
"8";"3";"6511.62977292706";"32";"Building"
"8";"4";"3714.00420668214";"85";"Park"
"8";"5";"7817.91250472931";"109";"Park"
"8";"6";"5698.27317952125";"74";"Architectural"
"8";"7";"605.922559492906";"383";"Architectural"
"8";"9";"1040.52240014036";"338";"Precinct"
"8";"10";"8489.53169567386";"60";"Architectural"
"8";"11";"16125.2067712859";"418";"Architectural"
"8";"12";"16116.475077564";"709";"Architectural"
"8";"13";"16717.7394924993";"1";"Architectural"
"8";"14";"6509.46731086749";"3";"Religious"
"8";"15";"6055.71622408285";"1";"Religious"
"8";"16";"4879.61116217435";"98";"Religious"
"8";"18";"1315.42098265404";"534";"Religious"
"8";"19";"12123.379359104";"206";"Religious"
"8";"21";"5838.54014028255";"103";"Museum"
"8";"22";"10242.2830334252";"10";"Museum"
"8";"23";"4417.57257881266";"196";"Architectural"
"8";"24";"7760.30728446545";"117";"Religious"
"8";"25";"2455.92071695824";"97";"Park"
"8";"26";"6325.74162829912";"46";"Park"
"9";"1";"4804.74026688702";"369";"Building"
"9";"3";"5549.42684643444";"32";"Building"
"9";"4";"2809.94681452899";"85";"Park"
"9";"5";"7095.01726065176";"109";"Park"
"9";"6";"5300.24871366497";"74";"Architectural"
"9";"7";"1038.28099047712";"383";"Architectural"
"9";"8";"1040.52240014036";"4";"Architectural"
"9";"10";"7693.98012900974";"60";"Architectural"
"9";"11";"15321.8220461732";"418";"Architectural"
"9";"12";"15313.7632527641";"709";"Architectural"
"9";"13";"16299.6294424285";"1";"Architectural"
"9";"14";"6621.35094847341";"3";"Religious"
"9";"15";"5089.05189075395";"1";"Religious"
"9";"16";"3911.55594220803";"98";"Religious"
"9";"18";"634.868716574931";"534";"Religious"
"9";"19";"11743.7098358358";"206";"Religious"
"9";"21";"5051.02044957219";"103";"Museum"
"9";"22";"9298.53766159028";"10";"Museum"
"9";"23";"3515.24748438614";"196";"Architectural"
"9";"24";"7278.69914850854";"117";"Religious"
"9";"25";"2490.12285262237";"97";"Park"
"9";"26";"5929.06414866569";"46";"Park"
"10";"1";"3205.7424088689";"369";"Building"
"10";"3";"2980.98460696664";"32";"Building"
"10";"4";"4926.9386311349";"85";"Park"
"10";"5";"1016.83035906661";"109";"Park"
"10";"6";"4085.7364029376";"74";"Architectural"
"10";"7";"8000.99300725953";"383";"Architectural"
"10";"8";"8489.53169567386";"4";"Architectural"
"10";"9";"7693.98012900974";"338";"Precinct"
"10";"11";"7636.24200638438";"418";"Architectural"
"10";"12";"7627.65909011279";"709";"Architectural"
"10";"13";"9915.14636736254";"1";"Architectural"
"10";"14";"7014.58184896358";"3";"Religious"
"10";"15";"3309.5526592143";"1";"Religious"
"10";"16";"4170.08855165025";"98";"Religious"
"10";"18";"7195.42045917931";"534";"Religious"
"10";"19";"6173.7070397604";"206";"Religious"
"10";"21";"2651.59172148386";"103";"Museum"
"10";"22";"2890.6926940209";"10";"Museum"
"10";"23";"4252.8210832931";"196";"Architectural"
"10";"24";"3067.85540979162";"117";"Religious"
"10";"25";"6860.20845783315";"97";"Park"
"10";"26";"3875.76642690434";"46";"Park"
"11";"1";"10753.1568405392";"369";"Building"
"11";"3";"10117.833829651";"32";"Building"
"11";"4";"12531.4176098711";"85";"Park"
"11";"5";"8362.9239016159";"109";"Park"
"11";"6";"11181.3571995021";"74";"Architectural"
