"from";"to";"cost";"profit";"category"
"1";"2";"1818.24947285936";"699";"Historical"
"1";"3";"700.407776992332";"3140";"Museum"
"1";"4";"1645.50480612845";"886";"Structure"
"1";"5";"13047.7653811871";"12";"Structure"
"1";"6";"13936.0543404484";"11";"Structure"
"1";"7";"2474.30136746276";"378";"Park"
"1";"8";"633.440870611954";"1887";"Historical"
"1";"9";"630.290957302153";"4452";"Cultural"
"1";"10";"1377.29197156081";"845";"Park"
"1";"11";"1367.15626961281";"999";"Historical"
"1";"12";"294.899347224276";"1208";"Cultural"
"1";"13";"937.95053696595";"1360";"Cultural"
"1";"14";"616.021954506229";"411";"Structure"
"1";"15";"445.900055560333";"1726";"Structure"
"1";"16";"411.798615041481";"423";"Museum"
"1";"17";"643.346692588886";"1303";"Structure"
"1";"18";"209.309135243305";"1351";"Park"
"1";"19";"850.259587715889";"1559";"Structure"
"1";"20";"1926.07214616313";"881";"Park"
"1";"21";"3707.10282227487";"167";"Structure"
"1";"22";"625.18993222801";"317";"Structure"
"1";"23";"1170.18007364504";"480";"Structure"
"1";"24";"1663.94960514002";"409";"Entertainment"
"1";"25";"4010.28879038455";"5";"Historical"
"1";"27";"1684.81377336289";"169";"Museum"
"1";"28";"860.971473572774";"1325";"Structure"
"1";"29";"375.229158279671";"2972";"Structure"
"2";"1";"1818.24947285936";"4569";"Historical"
"2";"3";"1254.1425629368";"3140";"Museum"
"2";"4";"172.775758253982";"886";"Structure"
"2";"5";"14486.0575806714";"12";"Structure"
"2";"6";"15400.2689550686";"11";"Structure"
"2";"7";"1137.16061535306";"378";"Park"
"2";"8";"1295.03477849483";"1887";"Historical"
"2";"9";"1192.17350820254";"4452";"Cultural"
"2";"10";"680.252304849964";"845";"Park"
"2";"11";"630.528000712222";"999";"Historical"
"2";"12";"2076.95963478738";"1208";"Cultural"
"2";"13";"1069.4357966818";"1360";"Cultural"
"2";"14";"2422.26960669633";"411";"Structure"
"2";"15";"1491.24863349223";"1726";"Structure"
"2";"16";"1454.63895397686";"423";"Museum"
"2";"17";"1185.11490049717";"1303";"Structure"
"2";"18";"1920.108812078";"1351";"Park"
"2";"19";"1060.84401357436";"1559";"Structure"
"2";"20";"2580.51906456733";"881";"Park"
"2";"21";"2859.38572965428";"167";"Structure"
"2";"22";"2213.59985172157";"317";"Structure"
"2";"23";"729.327434049714";"480";"Structure"
"2";"24";"243.64380421352";"409";"Entertainment"
"2";"25";"5519.89102245665";"5";"Historical"
"2";"27";"3436.82333350067";"169";"Museum"
"2";"28";"1078.20704147031";"1325";"Structure"
"2";"29";"1446.4123378823";"2972";"Structure"
"3";"1";"700.407776992332";"4569";"Historical"
"3";"2";"1254.1425629368";"699";"Historical"
"3";"4";"1089.92177368161";"886";"Structure"
"3";"5";"13736.144395796";"12";"Structure"
"3";"6";"14627.6181059097";"11";"Structure"
"3";"7";"1776.1403152889";"378";"Park"
"3";"8";"643.021090063891";"1887";"Historical"
"3";"9";"283.06676276242";"4452";"Cultural"
"3";"10";"1047.41250628551";"845";"Park"
"3";"11";"1005.62810116815";"999";"Historical"
"3";"12";"885.404844110078";"1208";"Cultural"
"3";"13";"239.748945341705";"1360";"Cultural"
"3";"14";"1228.20625386601";"411";"Structure"
"3";"15";"667.301058371147";"1726";"Structure"
"3";"16";"566.366833649841";"423";"Museum"
"3";"17";"250.684607211257";"1303";"Structure"
"3";"18";"880.853839361933";"1351";"Park"
"3";"19";"660.768912390945";"1559";"Structure"
"3";"20";"2322.54925630948";"881";"Park"
"3";"21";"3627.06230187286";"167";"Structure"
"3";"22";"1283.89911404277";"317";"Structure"
"3";"23";"805.299725835578";"480";"Structure"
"3";"24";"1055.0888666336";"409";"Entertainment"
"3";"25";"4303.34271016606";"5";"Historical"
"3";"27";"2381.69069325136";"169";"Museum"
"3";"28";"181.911019209246";"1325";"Structure"
"3";"29";"454.335182408548";"2972";"Structure"
"4";"1";"1645.50480612845";"4569";"Historical"
"4";"2";"172.775758253982";"699";"Historical"
"4";"3";"1089.92177368161";"3140";"Museum"
"4";"5";"14343.874909028";"12";"Structure"
"4";"6";"15256.1098143702";"11";"Structure"
"4";"7";"1214.19747616369";"378";"Park"
"4";"8";"1126.84721483374";"1887";"Historical"
"4";"9";"1019.85750480881";"4452";"Cultural"
"4";"10";"558.553512305951";"845";"Park"
"4";"11";"500.767879074348";"999";"Historical"
"4";"12";"1904.96176418673";"1208";"Cultural"
"4";"13";"914.885224778072";"1360";"Cultural"
"4";"14";"2250.02681573317";"411";"Structure"
"4";"15";"1321.16646707042";"1726";"Structure"
"4";"16";"1282.85963060901";"423";"Museum"
"4";"17";"1013.26703909373";"1303";"Structure"
"4";"18";"1747.93794369073";"1351";"Park"
"4";"19";"895.033529411925";"1559";"Structure"
"4";"20";"2466.29841905136";"881";"Park"
"4";"21";"2898.84417640483";"167";"Structure"
"4";"22";"2045.49860271283";"317";"Structure"
"4";"23";"570.586317058692";"480";"Structure"
"4";"24";"183.437211956831";"409";"Entertainment"
"4";"25";"5369.76299613879";"5";"Historical"
"4";"27";"3266.64908534859";"169";"Museum"
"4";"28";"916.704736288582";"1325";"Structure"
"4";"29";"1273.65314559137";"2972";"Structure"
"5";"1";"13047.7653811871";"4569";"Historical"
"5";"2";"14486.0575806714";"699";"Historical"
"5";"3";"13736.144395796";"3140";"Museum"
"5";"4";"14343.874909028";"886";"Structure"
"5";"6";"962.436595519734";"11";"Structure"
"5";"7";"15452.8919568363";"378";"Park"
"5";"8";"13295.0799733378";"1887";"Historical"
"5";"9";"13570.4921257438";"4452";"Cultural"
"5";"10";"13808.9341322708";"845";"Park"
"5";"11";"13855.7273793467";"999";"Historical"
"5";"12";"12954.4493601652";"1208";"Cultural"
"5";"13";"13962.548584992";"1360";"Cultural"
"5";"14";"12688.3093867769";"411";"Structure"
"5";"15";"13148.3938341759";"1726";"Structure"
"5";"16";"13227.8626057078";"423";"Museum"
"5";"17";"13598.3926625599";"1303";"Structure"
"5";"18";"12856.2730782532";"1351";"Park"
"5";"19";"13490.5045478094";"1559";"Structure"
"5";"20";"11982.5316611324";"881";"Park"
"5";"21";"13630.1327690776";"167";"Structure"
"5";"22";"12454.5022862843";"317";"Structure"
"5";"23";"13779.5812879394";"480";"Structure"
"5";"24";"14458.9279272545";"409";"Entertainment"
"5";"25";"13012.4008337238";"5";"Historical"
"5";"27";"11454.7893345673";"169";"Museum"
"5";"28";"13872.4604997246";"1325";"Structure"
"5";"29";"13306.648935956";"2972";"Structure"
"6";"1";"13936.0543404484";"4569";"Historical"
"6";"2";"15400.2689550686";"699";"Historical"
"6";"3";"14627.6181059097";"3140";"Museum"
"6";"4";"15256.1098143702";"886";"Structure"
"6";"5";"962.436595519734";"12";"Structure"
"6";"7";"16354.5107392937";"378";"Park"
"6";"8";"14198.3421500551";"1887";"Historical"
"6";"9";"14467.8059755588";"4452";"Cultural"
"6";"10";"14724.6204479493";"845";"Park"
"6";"11";"14770.3958683382";"999";"Historical"
"6";"12";"13834.8722853939";"1208";"Cultural"
"6";"13";"14855.9392268057";"1360";"Cultural"
"6";"14";"13562.1986270609";"411";"Structure"
"6";"15";"14048.0763861619";"1726";"Structure"
"6";"16";"14125.8631730303";"423";"Museum"
"6";"17";"14495.1956995517";"1303";"Structure"
"6";"18";"13746.9537507562";"1351";"Park"
"6";"19";"14397.0233459969";"1559";"Structure"
