"from";"to";"cost";"profit";"category"
"1";"2";"272.066373245238";"253";"Amusement"
"1";"3";"7292.89491064678";"599";"Amusement"
"1";"4";"1203.03433701651";"512";"Amusement"
"1";"5";"8562.25790142769";"315";"Amusement"
"1";"6";"7937.2072308375";"660";"Amusement"
"1";"7";"8297.18773550298";"197";"Park"
"1";"8";"9594.75249754302";"1307";"Park"
"1";"9";"7192.10645804677";"5";"Park"
"1";"10";"7546.827071137";"412";"Park"
"1";"11";"6768.55790248484";"61";"Park"
"1";"12";"9639.44885844609";"36";"Park"
"1";"15";"8018.32711028301";"229";"Historical"
"1";"16";"7479.45048700971";"52";"Historical"
"1";"17";"9622.70443039554";"3";"Historical"
"1";"18";"8952.8956764897";"305";"Historical"
"1";"19";"4993.24227456892";"21";"Entertainment"
"1";"20";"6689.10601341038";"514";"Entertainment"
"1";"21";"6813.26529579628";"297";"Entertainment"
"1";"22";"7075.7411444332";"413";"Entertainment"
"1";"23";"7069.51963794511";"51";"Entertainment"
"1";"24";"6621.21682946433";"125";"Entertainment"
"1";"25";"8777.89534978009";"66";"Entertainment"
"1";"26";"410967.565801259";"349";"Entertainment"
"1";"27";"6638.97420302396";"3";"Entertainment"
"1";"28";"8675.45588042288";"74";"Entertainment"
"1";"29";"7101.09620064377";"2";"Entertainment"
"2";"1";"272.066373245238";"886";"Amusement"
"2";"3";"7104.92770746054";"599";"Amusement"
"2";"4";"970.214132900348";"512";"Amusement"
"2";"5";"8290.79653991188";"315";"Amusement"
"2";"6";"7665.24989735425";"660";"Amusement"
"2";"7";"8031.96896478715";"197";"Park"
"2";"8";"9342.16843094756";"1307";"Park"
"2";"9";"7171.06541316321";"5";"Park"
"2";"10";"7366.6682085757";"412";"Park"
"2";"11";"6504.49602421713";"61";"Park"
"2";"12";"9564.63625597856";"36";"Park"
"2";"15";"7825.91398034965";"229";"Historical"
"2";"16";"7447.33869413528";"52";"Historical"
"2";"17";"9383.36348291371";"3";"Historical"
"2";"18";"8687.7301180897";"305";"Historical"
"2";"19";"4749.3822296485";"21";"Entertainment"
"2";"20";"6458.95287478118";"514";"Entertainment"
"2";"21";"6571.38519372088";"297";"Entertainment"
"2";"22";"6889.09736741064";"413";"Entertainment"
"2";"23";"6860.54986039875";"51";"Entertainment"
"2";"24";"6379.16225411491";"125";"Entertainment"
"2";"25";"8511.93442974885";"66";"Entertainment"
"2";"26";"410724.266094574";"349";"Entertainment"
"2";"27";"6436.3483572669";"3";"Entertainment"
"2";"28";"8404.53634957826";"74";"Entertainment"
"2";"29";"6940.76313617661";"2";"Entertainment"
"3";"1";"7292.89491064678";"886";"Amusement"
"3";"2";"7104.92770746054";"253";"Amusement"
"3";"4";"7038.87441753561";"512";"Amusement"
"3";"5";"5774.24300677949";"315";"Amusement"
"3";"6";"6115.71637437139";"660";"Amusement"
"3";"7";"4512.40139666717";"197";"Park"
"3";"8";"4172.37709541822";"1307";"Park"
"3";"9";"4831.50592608854";"5";"Park"
"3";"10";"384.760580423502";"412";"Park"
"3";"11";"3893.20845405335";"61";"Park"
"3";"12";"4654.42493161371";"36";"Park"
"3";"15";"743.573784706809";"229";"Historical"
"3";"16";"4649.58192351859";"52";"Historical"
"3";"17";"3454.98955875261";"3";"Historical"
"3";"18";"4853.64902480709";"305";"Historical"
"3";"19";"3104.52227148085";"21";"Entertainment"
"3";"20";"1797.39984848638";"514";"Entertainment"
"3";"21";"2352.49623569659";"297";"Entertainment"
"3";"22";"221.672228973213";"413";"Entertainment"
"3";"23";"834.020994555289";"51";"Entertainment"
"3";"24";"2378.49236167928";"125";"Entertainment"
"3";"25";"7838.0892220378";"66";"Entertainment"
"3";"26";"404076.635882226";"349";"Entertainment"
"3";"27";"848.284651238833";"3";"Entertainment"
"3";"28";"5657.16109318589";"74";"Entertainment"
"3";"29";"957.939984928284";"2";"Entertainment"
"4";"1";"1203.03433701651";"886";"Amusement"
"4";"2";"970.214132900348";"253";"Amusement"
"4";"3";"7038.87441753561";"599";"Amusement"
"4";"5";"7561.22701278331";"315";"Amusement"
"4";"6";"6876.4872279926";"660";"Amusement"
"4";"7";"7420.48753932583";"197";"Park"
"4";"8";"8854.47478871313";"1307";"Park"
"4";"9";"7725.66165130286";"5";"Park"
"4";"10";"7336.06657917987";"412";"Park"
"4";"11";"5917.88150233429";"61";"Park"
"4";"12";"9937.06933147427";"36";"Park"
