poiID;poiName;lat;long;theme
1;Osaka_Aquarium_Kaiyukan;34.654472; 135.428889;Amusement
2;Tempozan_Ferris_Wheel;34.6561657; 135.431031;Amusement
3;Tenn%C5%8Dji_Zoo;34.652556; 135.508496;Amusement
4;Universal_Studios_Japan;34.66472; 135.43306;Amusement
5;HEP_Five;34.7040028; 135.5004466;Amusement
6;Umeda_Sky_Building;34.70528; 135.48972;Amusement
7;Nakanoshima_Park;34.693056; 135.506431;Park
8;Osaka_Castle;34.68722; 135.52583;Park
9;Sumiyoshi_Park;34.6124; 135.48848;Park
10;Tenn%C5%8Dji_Park;34.64985; 135.51111;Park
11;Utsubo_Park;34.685055; 135.492786;Park
12;Nagai_Park;34.61194; 135.52056;Park
13;Osaka_Castle;34.68722; 135.52583;Historical
14;Sank%C5%8D_Shrine;34.67306; 135.52944;Historical
15;Shitenn%C5%8D-ji;34.6539; 135.5164500;Historical
16;Sumiyoshi_taisha;34.6127972; 135.4929417;Historical
17;Tamatsukuri_Inari_Shrine;34.67806; 135.53000;Historical
18;%C5%8Csaka_Tenmang%C5%AB_Shrine;34.696025; 135.5126194;Historical
19;D%C5%8Dtonbori;34.668507; 135.480684;Entertainment
20;Namba;34.66722; 135.50028;Entertainment
21;Shinsaibashi;34.6725; 135.50000;Entertainment
22;Shinsekai;34.65222; 135.50611;Entertainment
23;Nipponbashi;34.65972; 135.50583;Entertainment
24;Amerikamura;34.672086; 135.49796;Entertainment
25;J%C5%ABs%C5%8D;34.71971; 135.482755;Entertainment
26;Ky%C5%8Dbashi#Osaka;35.6751778; 139.7692944;Entertainment
27;Zepp;34.657361; 135.501306;Entertainment
28;Doyama,_Osaka,_Japan;34.703165; 135.502882;Entertainment
29;Tobita_Shinchi;34.644325; 135.5054444;Entertainment
