"photoID";"userID";"dateTaken";"poiID";"poiTheme";"poiFreq";"seqID"
8636126004;"10126637@N02";1365314352;12;"Architectural";709;1
8635021631;"10126637@N02";1365314896;11;"Architectural";418;1
7133494159;"10216976@N05";1332119449;18;"Religious";534;2
7133492891;"10216976@N05";1332119539;18;"Religious";534;2
7909379802;"10297667@N06";1255940392;18;"Religious";534;3
7909378764;"10297667@N06";1256000375;18;"Religious";534;4
7909378182;"10297667@N06";1256002254;18;"Religious";534;4
7909377748;"10297667@N06";1256007830;18;"Religious";534;4
7909377308;"10297667@N06";1256007932;18;"Religious";534;4
7909376910;"10297667@N06";1256008350;18;"Religious";534;4
7909376692;"10297667@N06";1256008619;18;"Religious";534;4
7909376086;"10297667@N06";1256008975;18;"Religious";534;4
7909375574;"10297667@N06";1256009032;18;"Religious";534;4
7909375086;"10297667@N06";1256009792;18;"Religious";534;4
7909374538;"10297667@N06";1256010157;18;"Religious";534;4
7909371670;"10297667@N06";1256013082;7;"Architectural";383;4
7909371090;"10297667@N06";1256014002;7;"Architectural";383;4
7909370428;"10297667@N06";1256014934;7;"Architectural";383;4
7909369918;"10297667@N06";1256015966;7;"Architectural";383;4
7909368464;"10297667@N06";1256017730;7;"Architectural";383;4
7909368106;"10297667@N06";1256018874;7;"Architectural";383;4
7909367508;"10297667@N06";1257470777;16;"Religious";98;5
7909367024;"10297667@N06";1286686460;16;"Religious";98;6
7909366560;"10297667@N06";1286686549;16;"Religious";98;6
7909365596;"10297667@N06";1286704337;16;"Religious";98;6
7909365056;"10297667@N06";1286762727;1;"Building";369;7
7909364570;"10297667@N06";1286762808;1;"Building";369;7
7909364258;"10297667@N06";1286762847;1;"Building";369;7
7909363810;"10297667@N06";1286766551;21;"Museum";103;7
7909363454;"10297667@N06";1286766598;21;"Museum";103;7
7909401588;"10297667@N06";1286770503;12;"Architectural";709;7
7909401274;"10297667@N06";1286771099;12;"Architectural";709;7
7909400786;"10297667@N06";1286771160;12;"Architectural";709;7
7909400390;"10297667@N06";1286772047;11;"Architectural";418;7
7909399934;"10297667@N06";1286772297;11;"Architectural";418;7
7909399322;"10297667@N06";1286772351;11;"Architectural";418;7
7909398878;"10297667@N06";1286772411;11;"Architectural";418;7
7909398280;"10297667@N06";1286772860;12;"Architectural";709;7
7909397330;"10297667@N06";1286777434;9;"Precinct";338;7
7909396800;"10297667@N06";1290126573;16;"Religious";98;8
7909391322;"10297667@N06";1319069995;23;"Architectural";196;9
7909390842;"10297667@N06";1319070360;23;"Architectural";196;9
7909389152;"10297667@N06";1319157392;16;"Religious";98;10
7909388218;"10297667@N06";1319167191;19;"Religious";206;10
9306374973;"10297667@N06";1351893756;16;"Religious";98;11
9309159068;"10297667@N06";1351893996;16;"Religious";98;11
9306372619;"10297667@N06";1351894016;16;"Religious";98;11
9309154604;"10297667@N06";1351900296;18;"Religious";534;11
9306367191;"10297667@N06";1351901168;18;"Religious";534;11
9306365391;"10297667@N06";1351901181;18;"Religious";534;11
9309149360;"10297667@N06";1351901285;18;"Religious";534;11
9309147720;"10297667@N06";1351901305;18;"Religious";534;11
9306360445;"10297667@N06";1351901415;18;"Religious";534;11
9306354099;"10297667@N06";1351929956;16;"Religious";98;11
9309125388;"10297667@N06";1353716118;25;"Park";97;12
9309123714;"10297667@N06";1353716145;25;"Park";97;12
9309121314;"10297667@N06";1353743424;16;"Religious";98;12
9309119810;"10297667@N06";1353743437;16;"Religious";98;12
9309118598;"10297667@N06";1353744002;16;"Religious";98;12
9306332045;"10297667@N06";1353744209;16;"Religious";98;12
9309114998;"10297667@N06";1354768094;9;"Precinct";338;13
9309110442;"10297667@N06";1354769500;9;"Precinct";338;13
9309109170;"10297667@N06";1354769556;9;"Precinct";338;13
12088384345;"10297667@N06";1386220002;9;"Precinct";338;14
12088690063;"10297667@N06";1386220072;9;"Precinct";338;14
12088756334;"10297667@N06";1386220111;9;"Precinct";338;14
12088682563;"10297667@N06";1386220119;9;"Precinct";338;14
12088370345;"10297667@N06";1386220126;9;"Precinct";338;14
12089035626;"10297667@N06";1386237504;16;"Religious";98;14
12088363005;"10297667@N06";1386237512;16;"Religious";98;14
4408930210;"10440180@N03";1267663651;23;"Architectural";196;15
10226301874;"105106606@N05";1320296258;12;"Architectural";709;16
10226305444;"105106606@N05";1320365146;18;"Religious";534;17
10226309304;"105106606@N05";1320378361;18;"Religious";534;17
6338782949;"10747684@N00";1319759132;25;"Park";97;18
6339536304;"10747684@N00";1319780541;1;"Building";369;18
6339536516;"10747684@N00";1319780697;1;"Building";369;18
6339537048;"10747684@N00";1319780815;1;"Building";369;18
11608968395;"111099318@N03";1388191542;19;"Religious";206;19
11627760053;"111099318@N03";1388269301;19;"Religious";206;20
2667189710;"11315588@N00";1213977331;24;"Religious";117;21
4735503345;"11615514@N03";1277509931;1;"Building";369;22
13805902935;"118455675@N05";1395375148;18;"Religious";534;23
8520676182;"12078789@N00";1362177119;7;"Architectural";383;24
8519563371;"12078789@N00";1362177179;7;"Architectural";383;24
8519561761;"12078789@N00";1362177241;7;"Architectural";383;24
8520675558;"12078789@N00";1362177288;7;"Architectural";383;24
8519561299;"12078789@N00";1362178414;7;"Architectural";383;24
8520674158;"12078789@N00";1362178550;7;"Architectural";383;24
8519560373;"12078789@N00";1362179635;7;"Architectural";383;24
8519559809;"12078789@N00";1362179672;7;"Architectural";383;24
424011030;"12176100@N00";1172209422;12;"Architectural";709;25
5389825796;"12373974@N07";1291179294;25;"Park";97;26
5389221469;"12373974@N07";1291179518;25;"Park";97;26
5389221499;"12373974@N07";1291179649;25;"Park";97;26
5389825900;"12373974@N07";1291179869;25;"Park";97;26
5389221567;"12373974@N07";1291179917;25;"Park";97;26
5389221609;"12373974@N07";1291180003;25;"Park";97;26
5389221643;"12373974@N07";1291180284;25;"Park";97;26
5389221693;"12373974@N07";1291180610;25;"Park";97;26
5389826088;"12373974@N07";1291180658;25;"Park";97;26
5391757989;"12373974@N07";1291182292;1;"Building";369;26
5392358294;"12373974@N07";1291182367;1;"Building";369;26
5391758121;"12373974@N07";1291182409;1;"Building";369;26
5391758151;"12373974@N07";1291182481;1;"Building";369;26
5391758173;"12373974@N07";1291182556;1;"Building";369;26
5391758199;"12373974@N07";1291182650;1;"Building";369;26
5392358440;"12373974@N07";1291182698;1;"Building";369;26
5392358484;"12373974@N07";1291182867;1;"Building";369;26
5391758297;"12373974@N07";1291182915;1;"Building";369;26
2243088384;"12982516@N02";852037200;18;"Religious";534;27
5161922055;"13244443@N02";1288919113;23;"Architectural";196;28
6159102172;"13519154@N06";1314466109;14;"Religious";3;29
1438215430;"13910409@N05";1073786322;12;"Architectural";709;30
1438215438;"13910409@N05";1073786625;12;"Architectural";709;30
1438215442;"13910409@N05";1073787139;12;"Architectural";709;30
1438215460;"13910409@N05";1073787717;12;"Architectural";709;30
1609350318;"13910409@N05";1073788209;12;"Architectural";709;30
1609350332;"13910409@N05";1073789003;12;"Architectural";709;30
1437798902;"13910409@N05";1190714862;12;"Architectural";709;31
5760941831;"14021337@N00";1300331483;7;"Architectural";383;32
5761488200;"14021337@N00";1300331596;7;"Architectural";383;32
5761489648;"14021337@N00";1300331747;7;"Architectural";383;32
5761497454;"14021337@N00";1300334452;7;"Architectural";383;32
5761499014;"14021337@N00";1300340501;9;"Precinct";338;32
5760955597;"14021337@N00";1300340503;9;"Precinct";338;32
5761503704;"14021337@N00";1300341567;18;"Religious";534;32
5760960145;"14021337@N00";1300341583;18;"Religious";534;32
5761506490;"14021337@N00";1300341584;18;"Religious";534;32
5761507974;"14021337@N00";1300343631;18;"Religious";534;32
