"from";"to";"cost";"profit";"category"
"1";"2";"631.721014720491";"916";"Transport"
"1";"4";"44174.1379375131";"1";"Transport"
"1";"5";"4721.45558030842";"2";"Transport"
"1";"6";"808.589782455098";"48";"Transport"
"1";"7";"1099.18678540965";"125";"Education"
"1";"8";"1137.23241333284";"111";"Education"
"1";"9";"2409.11244218152";"338";"Education"
"1";"10";"2437.35047096376";"1437";"Education"
"1";"11";"974.905332347454";"1008";"Education"
"1";"12";"511.874600258105";"517";"Education"
"1";"13";"1572.26913776313";"545";"Religion"
"1";"14";"758.656305877056";"19";"Religion"
"1";"15";"2867.49178887717";"718";"Shopping"
"1";"16";"385.041294537097";"848";"Shopping"
"1";"17";"4326.54867217997";"36";"Museum"
"1";"18";"3403.84678819391";"41";"Park"
"1";"19";"1879.31103674349";"371";"Structure"
"1";"20";"790.394919072989";"379";"Structure"
"1";"21";"422.468772182175";"618";"Museum"
"1";"22";"1452.35595081602";"232";"Park"
"1";"24";"3246.85847417257";"76";"Structure"
"1";"25";"2600.21452168581";"139";"Museum"
"1";"26";"2347.46542742783";"769";"Museum"
"1";"27";"5037.2834729069";"99";"Structure"
"1";"28";"807.014463172432";"439";"Structure"
"1";"29";"761.620942037074";"111";"Structure"
"2";"1";"631.721014720491";"1491";"Transport"
"2";"4";"44788.4835145128";"1";"Transport"
"2";"5";"5045.79591392911";"2";"Transport"
"2";"6";"1404.63258495566";"48";"Transport"
"2";"7";"595.920753982408";"125";"Education"
"2";"8";"562.587417586958";"111";"Education"
"2";"9";"2513.31225884167";"338";"Education"
"2";"10";"2544.37875895348";"1437";"Education"
"2";"11";"904.349435273652";"1008";"Education"
"2";"12";"345.666517179247";"517";"Education"
"2";"13";"1050.27299165818";"545";"Religion"
"2";"14";"1080.04648592013";"19";"Religion"
"2";"15";"2954.07857935295";"718";"Shopping"
"2";"16";"248.149218985753";"848";"Shopping"
"2";"17";"4957.29265115871";"36";"Museum"
"2";"18";"3172.04067633261";"41";"Park"
"2";"19";"2316.2749849135";"371";"Structure"
"2";"20";"277.998508418816";"379";"Structure"
"2";"21";"236.775797863996";"618";"Museum"
"2";"22";"1523.11161917286";"232";"Park"
"2";"24";"3763.02080802557";"76";"Structure"
"2";"25";"2830.05781192348";"139";"Museum"
"2";"26";"2555.92832072484";"769";"Museum"
"2";"27";"5665.8054088925";"99";"Structure"
"2";"28";"697.401950049977";"439";"Structure"
"2";"29";"1091.55221359237";"111";"Structure"
"4";"1";"44174.1379375131";"1491";"Transport"
"4";"2";"44788.4835145128";"916";"Transport"
"4";"5";"43267.6172527683";"2";"Transport"
"4";"6";"43551.6246641363";"48";"Transport"
"4";"7";"45031.4275294365";"125";"Education"
"4";"8";"45309.6570351117";"111";"Education"
"4";"9";"44713.573673649";"338";"Education"
"4";"10";"44706.0931030081";"1437";"Education"
"4";"11";"44795.8437066647";"1008";"Education"
"4";"12";"44656.7917719746";"517";"Education"
"4";"13";"45377.9444524681";"545";"Religion"
"4";"14";"43857.5595772532";"19";"Religion"
"4";"15";"44853.4454997351";"718";"Shopping"
"4";"16";"44552.8701398505";"848";"Shopping"
"4";"17";"40056.0332135055";"36";"Museum"
"4";"18";"45062.2050545059";"41";"Park"
"4";"19";"43456.018604987";"371";"Structure"
"4";"20";"44961.5471391304";"379";"Structure"
"4";"21";"44554.6303694446";"618";"Museum"
"4";"22";"44003.9213356308";"232";"Park"
"4";"24";"42246.5464989843";"76";"Structure"
"4";"25";"44186.5298312083";"139";"Museum"
"4";"26";"44295.2011609574";"769";"Museum"
"4";"27";"39467.6788855329";"99";"Structure"
"4";"28";"44769.1158141541";"439";"Structure"
"4";"29";"44191.5415071153";"111";"Structure"
"5";"1";"4721.45558030842";"1491";"Transport"
"5";"2";"5045.79591392911";"916";"Transport"
"5";"4";"43267.6172527683";"1";"Transport"
"5";"6";"4100.61775059091";"48";"Transport"
"5";"7";"5640.95488234763";"125";"Education"
"5";"8";"5061.33990339736";"111";"Education"
"5";"9";"2750.47785927564";"338";"Education"
"5";"10";"2720.42680895812";"1437";"Education"
"5";"11";"4210.88189337872";"1008";"Education"
"5";"12";"4700.3445214877";"517";"Education"
"5";"13";"6073.9526087057";"545";"Religion"
"5";"14";"5330.95827637609";"19";"Religion"
"5";"15";"2485.26740963829";"718";"Shopping"
"5";"16";"4893.82261901308";"848";"Shopping"
"5";"17";"4464.07151621379";"36";"Museum"
"5";"18";"8124.94523797161";"41";"Park"
"5";"19";"2884.68206531593";"371";"Structure"
"5";"20";"4908.4477135622";"379";"Structure"
"5";"21";"5003.31950891857";"618";"Museum"
"5";"22";"6094.16674806911";"232";"Park"
"5";"24";"2198.62617080249";"76";"Structure"
"5";"25";"2257.94657742662";"139";"Museum"
"5";"26";"2538.68961125543";"769";"Museum"
"5";"27";"4606.79534984008";"99";"Structure"
"5";"28";"4390.50604245202";"439";"Structure"
"5";"29";"3990.2806772605";"111";"Structure"
"6";"1";"808.589782455098";"1491";"Transport"
"6";"2";"1404.63258495566";"916";"Transport"
"6";"4";"43551.6246641363";"1";"Transport"
"6";"5";"4100.61775059091";"2";"Transport"
"6";"7";"1907.77533707091";"125";"Education"
"6";"8";"1817.38639151451";"111";"Education"
"6";"9";"2152.80365056598";"338";"Education"
"6";"10";"2174.54514740569";"1437";"Education"
"6";"11";"1264.57552035067";"1008";"Education"
"6";"12";"1159.13896914938";"517";"Education"
"6";"13";"2380.70733230569";"545";"Religion"
"6";"14";"1237.15352324865";"19";"Religion"
"6";"15";"2596.33947257445";"718";"Shopping"
"6";"16";"1160.71559383221";"848";"Shopping"
"6";"17";"3591.85690425468";"36";"Museum"
"6";"18";"4073.91731449587";"41";"Park"
"6";"19";"1216.42404506441";"371";"Structure"
"6";"20";"1480.74562153516";"379";"Structure"
"6";"21";"1223.42992869539";"618";"Museum"
"6";"22";"1998.93897189616";"232";"Park"
"6";"24";"2463.84684839322";"76";"Structure"
"6";"25";"2161.2300503073";"139";"Museum"
"6";"26";"1957.85933728792";"769";"Museum"
"6";"27";"4284.35251159279";"99";"Structure"
"6";"28";"1217.68760010753";"439";"Structure"
"6";"29";"683.409091523364";"111";"Structure"
"7";"1";"1099.18678540965";"1491";"Transport"
"7";"2";"595.920753982408";"916";"Transport"
"7";"4";"45031.4275294365";"1";"Transport"
"7";"5";"5640.95488234763";"2";"Transport"
"7";"6";"1907.77533707091";"48";"Transport"
"7";"8";"809.075436770849";"111";"Education"
"7";"9";"3078.88557321317";"338";"Education"
"7";"10";"3110.37673112985";"1437";"Education"
"7";"11";"1469.92087166596";"1008";"Education"
"7";"12";"941.546026354496";"517";"Education"
"7";"13";"474.327460991261";"545";"Religion"
"7";"14";"1173.91609478644";"19";"Religion"
"7";"15";"3510.07344098016";"718";"Shopping"
"7";"16";"783.843537568438";"848";"Shopping"
"7";"17";"5360.28639775675";"36";"Museum"
"7";"18";"2623.41717572017";"41";"Park"
"7";"19";"2900.7083602148";"371";"Structure"
"7";"20";"766.535862457518";"379";"Structure"
"7";"21";"694.915071132133";"618";"Museum"
"7";"22";"1283.82932361481";"232";"Park"
"7";"24";"4325.97702193076";"76";"Structure"
"7";"25";"3418.99750993152";"139";"Museum"
"7";"26";"3142.99797087451";"769";"Museum"
"7";"27";"6084.46226989439";"99";"Structure"
"7";"28";"1270.40056612083";"439";"Structure"
"7";"29";"1681.57385257401";"111";"Structure"
"8";"1";"1137.23241333284";"1491";"Transport"
"8";"2";"562.587417586958";"916";"Transport"
"8";"4";"45309.6570351117";"1";"Transport"
"8";"5";"5061.33990339736";"2";"Transport"
"8";"6";"1817.38639151451";"48";"Transport"
"8";"7";"809.075436770849";"125";"Education"
"8";"9";"2390.67282457286";"338";"Education"
"8";"10";"2422.60492588427";"1437";"Education"
"8";"11";"866.481870139172";"1008";"Education"
"8";"12";"662.052023920286";"517";"Education"
"8";"13";"1089.67513894184";"545";"Religion"
"8";"14";"1639.15744035034";"19";"Religion"
"8";"15";"2796.06442009235";"718";"Shopping"
"8";"16";"768.380060289093";"848";"Shopping"
"8";"17";"5408.31845871497";"36";"Museum"
"8";"18";"3399.92033723928";"41";"Park"
"8";"19";"2513.11932718401";"371";"Structure"
"8";"20";"348.171648872436";"379";"Structure"
"8";"21";"794.902108601515";"618";"Museum"
"8";"22";"2006.13923838404";"232";"Park"
"8";"24";"4008.18035898841";"76";"Structure"
"8";"25";"2805.61892728291";"139";"Museum"
"8";"26";"2524.6014359348";"769";"Museum"
"8";"27";"6101.15220143737";"99";"Structure"
"8";"28";"729.156863362767";"439";"Structure"
"8";"29";"1323.81533602651";"111";"Structure"
"9";"1";"2409.11244218152";"1491";"Transport"
"9";"2";"2513.31225884167";"916";"Transport"
