poiID;poiName;lat;long;theme
1;India_Gate;28.6128639;77.229306;Building
2;Sansad_Bhavan;28.617189;77.208084;Building
3;Rashtrapati_Bhavan;28.6143417;77.1998028;Building
4;Connaught_Place,_New_Delhi;28.63278;77.21972;Park
5;Lodhi_Gardens;28.593;77.22;Park
6;Purana_Quila;28.61;77.245;Architectural
7;Red_Fort;28.655747;77.241625;Architectural
8;Salimgarh_Fort;28.661;77.24;Architectural
9;Chandni_Chowk;28.656;77.231;Precinct
10;Safdarjung%27s_Tomb;28.589266;77.210506;Architectural
11;Qutub_Minar;28.524355;77.185248;Architectural
12;Qutb_complex;28.524382;77.18543;Architectural
13;Tughlaqabad;28.51194;77.26083;Architectural
14;Akshardham_(Delhi);28.6125;77.27722;Religious
15;Cathedral_Church_of_Redemption;28.618038;77.201978;Religious
16;Gurdwara_Bangla_Sahib;28.6267;77.2089;Religious
17;ISKCON_Temple_Delhi;28.55806;77.24333;Religious
18;Jama_Masjid,_Delhi;28.6507;77.2334;Religious
19;Lotus_Temple;28.553325;77.2586;Religious
20;St._James%27_Church,_Delhi;28.665637;77.230784;Religious
21;National_Museum,_New_Delhi;28.611811;77.219262;Museum
22;National_Rail_Museum,_New_Delhi;28.58472;77.18139;Museum
23;Jantar_Mantar_(Delhi);28.6271083;77.2164778;Architectural
24;Nizamuddin_Dargah;28.591306;77.241806;Religious
25;Raj_Ghat_and_other_memorials;28.64055;77.249433;Park
26;National_Zoological_Park_Delhi;28.6044359;77.2461981;Park
