poiID;poiName;lat;long;theme
1;Perth_Town_Hall;-31.955; 115.860556;Structure
2;Parliament_House,_Perth;-31.951634; 115.847209;Structure
3;State_Library_of_Western_Australia;-31.949031; 115.860513;Structure
4;Chinatown,_Perth;-31.946; 115.854;Precinct
5;Northbridge,_Western_Australia;-31.946; 115.854;Precinct
6;Supreme_Court_Gardens;-31.9585; 115.8599;Park
7;Stirling_Gardens;-31.9565; 115.86;Park
8;Queens_Gardens,_Perth;-31.9595; 115.8766;Park
9;Russell_Square,_Perth;-31.9461; 115.8555;Park
10;Kings_Park,_Western_Australia;-31.96; 115.83;Park
11;Hyde_Park,_Perth;-31.9379; 115.8628;Park
12;Art_Gallery_of_Western_Australia;-31.950624; 115.860898;Cultural
13;Western_Australian_Museum;-31.94956; 115.861391;Cultural
14;WACA_Ground;-31.96; 115.87972;Sport
15;Perth_Oval;-31.94583; 115.87000;Sport
16;East_Perth_railway_station;-31.943896; 115.876976;Transport
17;Perth_railway_station;-31.951493; 115.860448;Transport
18;Esplanade_railway_station;-31.956586; 115.855476;Transport
19;Esplanade_Busport;-31.9562; 115.85465;Transport
20;Wellington_Street_bus_station;-31.9505; 115.857;Transport
21;Crown_Perth;-31.96083; 115.89556;Entertainment
22;Perth_Concert_Hall,_Western_Australia;-31.95806; 115.86361;Entertainment
23;Perth_Arena;-31.94833; 115.85194;Entertainment
24;Cottesloe_Beach;-31.993; 115.757;Beach
25;Coogee,_Western_Australia;-32.119; 115.766;Beach
