id,score_out_of_5,# of reviews,# of things to do,amount_of_things_to_do_in_city
1,4.5,33876,2,820
2,4.5,8238,22,820
3,4,138,538,3828
4,4.5,5159,18,820
5,4.5,9784,3,820
6,4.5,8092,9,820
7,4.5,13874,4,820
8,3.5,376,161,820
9,4.5,4036,16,820
10,4.5,1201,39,820
11,4.5,2177,28,820
12,4.5,13874,4,820
13,4.5,782,31,820
14,4.5,1856,26,820
15,3.5,2728,19,820
16,3,471,476,820
17,4.5,18092,5,820
18,4,52,144,820
19,4,1304,68,820
20,4,2080,65,820
21,2,1,730,820
22,4.5,1189,36,820
23,4.5,6913,27,820
24,4,211,118,820
25,4.5,2085,11,820
26,4.5,1404,49,820
27,3,1085,304,820
28,4.5,1239,52,820
29,3.5,13,471,820
