"photoID";"userID";"dateTaken";"poiID";"poiTheme";"poiFreq";"seqID"
5528931997;"10088550@N00";1299815700;14;"Transport";450;1
3563396553;"10131865@N02";1243168517;29;"Museum";587;2
3564212768;"10131865@N02";1243168542;29;"Museum";587;2
9800881585;"101655764@N06";1370007538;3;"Historical";859;3
12542876345;"101655764@N06";1370008356;14;"Transport";450;3
11842180674;"101655764@N06";1370009324;4;"Historical";895;3
9943293316;"101655764@N06";1370091638;12;"Historical";330;4
11841745485;"101655764@N06";1370091680;11;"Park";448;4
11843091276;"101655764@N06";1370091929;12;"Historical";330;4
12139254824;"101655764@N06";1370092445;12;"Historical";330;4
10169986683;"101655764@N06";1370145924;21;"Shopping";609;5
9800965803;"101655764@N06";1370156410;19;"Park";376;5
12037805975;"101655764@N06";1390097683;18;"Park";334;6
12138850595;"101655764@N06";1390611741;6;"Museum";472;7
2315349492;"10167777@N00";1203573432;33;"Cultural";1493;8
2314563633;"10167777@N00";1203732213;37;"Transport";785;9
3360238995;"10189504@N06";1235791097;8;"Cultural";1584;10
3360246667;"10189504@N06";1235792079;1;"Historical";1020;10
3361069486;"10189504@N06";1235792159;1;"Historical";1020;10
3361083964;"10189504@N06";1235802961;6;"Museum";472;10
3360269801;"10189504@N06";1235803019;6;"Museum";472;10
3361092304;"10189504@N06";1235803139;6;"Museum";472;10
3360277487;"10189504@N06";1235803329;6;"Museum";472;10
3360280473;"10189504@N06";1235803398;6;"Museum";472;10
3360286975;"10189504@N06";1235804251;6;"Museum";472;10
3361109034;"10189504@N06";1235805696;6;"Museum";472;10
3360294843;"10189504@N06";1235808376;6;"Museum";472;10
3360295351;"10189504@N06";1235867485;10;"Park";152;11
4118789312;"10205031@N07";1247720847;13;"Cultural";717;12
4118020597;"10205031@N07";1247720886;13;"Cultural";717;12
4118792098;"10205031@N07";1247721111;13;"Cultural";717;12
4118024417;"10205031@N07";1247721356;13;"Cultural";717;12
4118030481;"10205031@N07";1247722557;3;"Historical";859;12
4118032271;"10205031@N07";1247722591;3;"Historical";859;12
4118810134;"10205031@N07";1247724056;32;"Historical";885;12
4118041249;"10205031@N07";1247724137;32;"Historical";885;12
4118042017;"10205031@N07";1247724167;32;"Historical";885;12
4118812522;"10205031@N07";1247724279;32;"Historical";885;12
4118043733;"10205031@N07";1247724294;32;"Historical";885;12
4118814374;"10205031@N07";1247724534;32;"Historical";885;12
4118820638;"10205031@N07";1247726550;32;"Historical";885;12
4118825320;"10205031@N07";1247728025;13;"Cultural";717;12
4118831270;"10205031@N07";1247794093;1;"Historical";1020;13
4118832236;"10205031@N07";1247794134;1;"Historical";1020;13
4118833088;"10205031@N07";1247794268;1;"Historical";1020;13
4118064917;"10205031@N07";1247794570;1;"Historical";1020;13
4118065913;"10205031@N07";1247794747;4;"Historical";895;13
4118836658;"10205031@N07";1247794756;1;"Historical";1020;13
4118068405;"10205031@N07";1247795318;4;"Historical";895;13
4118838832;"10205031@N07";1247795337;4;"Historical";895;13
4118840334;"10205031@N07";1247796003;4;"Historical";895;13
4118841956;"10205031@N07";1247796018;4;"Historical";895;13
4118073357;"10205031@N07";1247796080;4;"Historical";895;13
4118843814;"10205031@N07";1247796137;4;"Historical";895;13
4118844644;"10205031@N07";1247796289;4;"Historical";895;13
4118075965;"10205031@N07";1247796365;7;"Historical";305;13
4118846206;"10205031@N07";1247796673;4;"Historical";895;13
4118077389;"10205031@N07";1247797040;7;"Historical";305;13
4118847914;"10205031@N07";1247797174;7;"Historical";305;13
4118848646;"10205031@N07";1247797204;7;"Historical";305;13
4118079749;"10205031@N07";1247797366;7;"Historical";305;13
4118850132;"10205031@N07";1247797624;7;"Historical";305;13
4118850806;"10205031@N07";1247797780;7;"Historical";305;13
4118851646;"10205031@N07";1247798696;1;"Historical";1020;13
4118082957;"10205031@N07";1247802846;1;"Historical";1020;13
4118853334;"10205031@N07";1247836583;4;"Historical";895;14
4118084925;"10205031@N07";1247836709;4;"Historical";895;14
4118856288;"10205031@N07";1247836882;37;"Transport";785;14
4118087751;"10205031@N07";1247876680;32;"Historical";885;15
10013979763;"102237062@N02";1377666573;13;"Cultural";717;16
10013919396;"102237062@N02";1377666604;13;"Cultural";717;16
10013926236;"102237062@N02";1377666641;13;"Cultural";717;16
10013865394;"102237062@N02";1377666649;13;"Cultural";717;16
10013874604;"102237062@N02";1377666694;13;"Cultural";717;16
10013881774;"102237062@N02";1377666701;13;"Cultural";717;16
10013931015;"102237062@N02";1377666806;13;"Cultural";717;16
10013895834;"102237062@N02";1377666827;13;"Cultural";717;16
10013904094;"102237062@N02";1377666834;13;"Cultural";717;16
10013951585;"102237062@N02";1377666925;13;"Cultural";717;16
10013915754;"102237062@N02";1377667081;3;"Historical";859;16
10013989976;"102237062@N02";1377667096;3;"Historical";859;16
10013926774;"102237062@N02";1377667217;3;"Historical";859;16
10014066883;"102237062@N02";1377667294;3;"Historical";859;16
10014073283;"102237062@N02";1377667307;3;"Historical";859;16
10013985665;"102237062@N02";1377667520;3;"Historical";859;16
10014019276;"102237062@N02";1377667531;3;"Historical";859;16
