Amusement,Park,Historical,Entertainment
0.781325176,0.193905529,1.792006341,1.573215824
0.344258853,0.961976692,1.468592102,1.966455192
1.039792633,1.023702096,0.462910272,0.039272983
1.634812414,1.498908782,0.224225287,1.665811023
1.735741534,1.501546675,1.538255402,1.944737601
1.107618448,1.42308765,1.94863358,1.669405443
1.615101705,0.730491841,0.40055526,1.66816015
0.187753521,1.61831979,1.210096486,0.490245265
1.85512104,0.554723695,0.944951231,0.730459328
1.156559511,1.678881798,0.494779307,1.064408395
1.797142461,1.179758596,0.075034349,1.731207823
0.9042206,0.168369151,0.025920952,0.647240664
1.282877536,0.375018764,1.866887998,0.502447581
0.38236452,0.317164709,0.147282723,0.518438473
0.424960374,1.492170069,1.358893007,1.800754953
1.760917646,0.041792884,0.452581798,1.953875854
0.830039522,0.040808181,0.182304502,1.849207376
1.539937903,1.575714198,1.120450072,0.596093898
1.133573168,1.209053751,0.205494251,0.50803564
1.957363019,1.377978064,0.928973642,1.822612679
1.461990091,1.090936867,0.111160586,0.036928973
0.123304859,1.27944481,0.640437432,0.263629414
1.097976637,1.460425895,1.4268456,1.401303719
1.690067929,0.418547089,0.279177787,1.97761521
0.506102115,1.020546489,0.918453173,1.319466566
1.68344802,0.57722504,1.903233475,1.979454354
1.818139435,1.710367609,1.760864653,0.914347358
1.82300151,1.896123879,1.672425247,0.783750368
0.209931495,0.106097658,1.292383799,1.293191124
1.941632204,0.809462772,1.175273548,0.383217777
1.055719531,0.899361027,0.21242416,1.079576815
0.226236334,0.989482184,0.736104748,0.330169274
0.901116923,0.454727038,1.161888654,1.810960957
0.474186199,1.74288413,0.357148266,0.778438048
1.589188078,1.809551026,0.160589443,1.086056535
0.681737561,1.947001138,1.465045461,1.736492702
0.894854041,1.849058831,0.440081534,1.670321598
0.626791502,1.178078261,1.58546668,0.612200168
1.095542172,0.965212168,0.783225882,1.675040168
1.687852962,0.218060847,1.017687222,1.202468676
0.949036628,1.076593794,0.219436357,1.241932067
0.484535241,0.379938177,1.126157611,1.119581452
1.88886235,0.534201948,0.994751894,0.543598825
1.576123756,0.735898227,0.262095527,1.897483812
0.117589216,0.819590252,0.402739663,0.01109789
1.820339592,0.280007395,1.760782214,1.045890653
0.031374566,0.053121168,1.190593142,0.087056914
1.29482765,0.080314118,1.961734315,0.991722425
0.816607233,0.874658906,0.196984117,1.837115346
0.297774443,1.615825364,0.581181484,0.006337535
0.834140119,0.996266379,0.306985463,1.861004992
0.449650582,0.264459862,0.945831606,0.502683214
1.944170912,0.121221332,0.636255996,0.652875424
0.826936756,1.272579634,1.64075117,0.840349341
1.688173291,0.000257356,1.836370594,1.798938282
0.100423267,1.98641616,0.557201266,0.013707551
0.376353716,0.965815546,1.976270322,1.935279787
